N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
149,금호타이어,"7,430",10,+0.13%,"5,000","21,343","287,260",4.20,"1,164,645",-140.19,-6.74,
150,효성첨단소재,"467,500","19,500",+4.35%,"5,000","20,944","4,480",10.30,"114,226",57.70,0.03,
151,동국제강,"21,600",250,-1.14%,"5,000","20,613","95,433",21.83,"755,326",9.79,3.35,
152,현대백화점,"86,500",600,+0.70%,"5,000","20,243","23,402",19.78,"103,763",20.76,1.65,
153,한전KPS,"44,500","1,600",+3.73%,200,"20,025","45,000",9.04,"1,080,791",18.56,8.23,
154,오뚜기,"542,000",0,0.00%,"5,000","19,902","3,672",12.94,"4,395",20.55,7.93,
155,대웅제약,"169,500","4,000",-2.31%,"2,500","19,639","11,587",5.48,"66,103",-178.05,2.38,
156,농심,"316,500","4,500",-1.40%,"5,000","19,252","6,083",13.56,"33,324",14.95,7.50,
157,KODEX 삼성그룹,"10,510",80,+0.77%,0,"19,160","182,300",0.06,"299,981",N/A,N/A,
158,영원무역,"43,200",0,0.00%,500,"19,143","44,311",26.86,"87,741",12.39,8.03,
159,아이에스동서,"60,600","1,500",-2.42%,500,"18,721","30,893",4.77,"145,213",14.64,10.92,
160,한국앤컴퍼니,"19,600",200,-1.01%,500,"18,607","94,935",10.04,"191,470",9.04,5.08,
161,프레스티지바이오파마,"30,750",700,-2.23%,0,"18,480","60,096",63.83,"307,950",-91.52,N/A,
162,롯데정밀화학,"68,200",400,+0.59%,"5,000","17,596","25,800",20.08,"164,580",8.97,12.65,
163,한미반도체,"35,100",50,+0.14%,200,"17,360","49,460",7.34,"573,370",28.68,21.03,
164,KG동부제철,"17,350",200,+1.17%,"5,000","17,352","100,009",1.09,"380,265",19.24,7.18,
165,두산,"103,500","7,800",+8.15%,"5,000","17,102","16,524",11.35,"304,515",-12.46,-34.34,
166,LS ELECTRIC,"56,800",700,+1.25%,"5,000","17,040","30,000",14.21,"124,315",21.65,6.15,
167,DL,"80,500",500,+0.63%,"5,000","16,869","20,956",16.02,"81,533",4.32,11.84,
168,지누스,"104,500",0,0.00%,500,"16,511","15,800",23.05,"65,111",34.49,11.61,
169,에스엘,"34,200",50,+0.15%,500,"16,486","48,203",16.73,"149,680",14.93,4.74,
170,녹십자홀딩스,"34,900",550,-1.55%,500,"16,413","47,028",4.94,"393,645",9.26,19.74,
171,LG생활건강우,"770,000","4,000",-0.52%,"5,000","16,168","2,100",85.36,"2,806",16.60,N/A,
172,KODEX 단기채권PLUS,"103,080",10,+0.01%,0,"16,114","15,633",0.00,"850,390",N/A,N/A,
173,NHN,"80,900","1,200",-1.46%,500,"15,828","19,565",11.80,"110,112",59.05,1.35,
174,종근당,"138,000","3,500",-2.47%,"2,500","15,768","11,426",8.01,"85,613",17.76,17.88,
175,명신산업,"30,000",550,+1.87%,500,"15,741","52,470",1.29,"1,026,955",-13.01,-67.39,
176,솔루스첨단소재,"50,800",800,+1.60%,100,"15,540","30,590",5.75,"242,252",-140.33,-5.10,
177,DGB금융지주,"9,120",10,-0.11%,"5,000","15,426","169,146",48.32,"241,051",4.20,6.93,
178,대한유화,"237,000","1,500",+0.64%,"5,000","15,405","6,500",19.43,"52,859",6.76,6.93,
179,KODEX 레버리지,"29,385",250,+0.86%,0,"14,928","50,800",5.13,"10,844,674",N/A,N/A,
180,SK네트웍스,"6,000",0,0.00%,"2,500","14,891","248,188",12.77,"599,726",14.39,1.63,
181,롯데리츠,"6,050",10,-0.17%,500,"14,700","242,969",9.84,"382,859",35.17,1.83,
182,부광약품,"20,600",400,-1.90%,500,"14,639","71,063",4.90,"707,731",-154.89,-2.46,
183,JB금융지주,"7,420",50,-0.67%,"5,000","14,616","196,983",41.07,"291,208",3.66,10.06,
184,KODEX 종합채권(AA-이상)액티브,"108,635",95,-0.09%,0,"14,373","13,231",0.00,"1,838",N/A,N/A,
185,롯데관광개발,"20,700",600,+2.99%,500,"14,340","69,276",4.24,"624,722",-11.58,-30.43,
186,KODEX 200TR,"14,385",60,+0.42%,0,"14,327","99,600",0.02,"444,875",N/A,N/A,
187,신세계인터내셔날,"200,500",0,0.00%,"5,000","14,316","7,140",5.38,"23,280",20.55,8.24,
188,솔루엠,"28,300",100,+0.35%,500,"14,095","49,806",4.54,"400,125",27.69,43.26,
189,세방전지,"98,500","3,100",+3.25%,500,"13,790","14,000",25.11,"128,935",17.87,6.14,
190,LG전자우,"80,100","1,100",+1.39%,"5,000","13,766","17,186",40.80,"189,872",7.46,N/A,
191,코스맥스,"134,500","3,500",+2.67%,500,"13,517","10,050",23.42,"122,747",42.31,6.23,
192,한국콜마,"58,000","1,000",+1.75%,500,"13,271","22,881",27.40,"145,928",8.29,29.27,
193,이노션,"66,100",100,+0.15%,500,"13,220","20,000",30.10,"34,199",22.51,8.28,
194,롯데칠성,"144,000","1,000",+0.70%,500,"12,924","8,975",8.92,"66,351",194.07,-1.00,
195,태광산업,"1,151,000","1,000",-0.09%,"5,000","12,815","1,113",7.14,736,10.15,3.26,
196,다우기술,"28,550",200,+0.71%,500,"12,809","44,867",22.00,"92,203",3.38,18.85,
197,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
198,KODEX 2차전지산업,"19,580",260,+1.35%,0,"12,629","64,500",0.10,"1,896,897",N/A,N/A,
199,LG상사,"32,250","1,400",+4.54%,"5,000","12,500","38,760",25.43,"666,165",12.28,23.72,
200,티와이홀딩스,"30,200",500,+1.68%,500,"12,132","40,172",6.01,"125,063",1.14,N/A,
